ERR  :SQL : INSERT INTO TDN_EXECUTIONS (SEQ_NUM, TELE_ID, LOGIC_ID, SERVER_ID, RCVD_SEQ, TELE_SEND_DT, COM_RSLT_CD, MARKET_CD, SYSTEM_CLS, OC_CLS, DATA_CLS, NOTICE_CLS, NOTICE_NO, OUT_TERM_ID, MARK_NO, RECEIPT_NO, EXEC_TIME, IN_TERM_ID, IN_USER_ID, NOTICE_MSG_CD, RESEND_DSP, DURATION_CLS, SECURITY_CD, BS_CLS, CONDITION_CLS, EXECUTIONS_PRICE, PRICELIM_RELS, QTY_RCVD, QTYLIM_RELS, PR_AG_CLS, ITEM_PROC, TRIGGER_PRICE, CORR_PRICE, LIQUID_PARTIC_CD, CUS_CONF_NO, VS_MARK, PRICE_MARK, DEAL_MARK, LATEST_EXEC_PRICE, OTHER_EXEC_PRICE, STOP_MARK, EXCD_MARK, SESSION_NO, KEY_RECEIPT_NO, KEY_ITEM_PROC, KEY_ORDER_PRICE, COMMODITY_TYPE_CD, CORR_CLS, RSLT_DT) VALUES (SEQ_TDN_RECEIPTS.NEXTVAL, 'VS210001','OS124','CS07','00000000','12350756','00','2','1','1','J','2','00000185','OS124','0022432','12400245','12350700','OS124','JSE04','','','','163120019','3','','000000009360000000','','0000000000001','','0','1127600080134','','','','','','','2','','','','0000000000001','2','','','','1602','', SYSDATE)
ERR  :SQL : INSERT INTO TDN_EXECUTIONS (SEQ_NUM, TELE_ID, LOGIC_ID, SERVER_ID, RCVD_SEQ, TELE_SEND_DT, COM_RSLT_CD, MARKET_CD, SYSTEM_CLS, OC_CLS, DATA_CLS, NOTICE_CLS, NOTICE_NO, OUT_TERM_ID, MARK_NO, RECEIPT_NO, EXEC_TIME, IN_TERM_ID, IN_USER_ID, NOTICE_MSG_CD, RESEND_DSP, DURATION_CLS, SECURITY_CD, BS_CLS, CONDITION_CLS, EXECUTIONS_PRICE, PRICELIM_RELS, QTY_RCVD, QTYLIM_RELS, PR_AG_CLS, ITEM_PROC, TRIGGER_PRICE, CORR_PRICE, LIQUID_PARTIC_CD, CUS_CONF_NO, VS_MARK, PRICE_MARK, DEAL_MARK, LATEST_EXEC_PRICE, OTHER_EXEC_PRICE, STOP_MARK, EXCD_MARK, SESSION_NO, KEY_RECEIPT_NO, KEY_ITEM_PROC, KEY_ORDER_PRICE, COMMODITY_TYPE_CD, CORR_CLS, RSLT_DT) VALUES (SEQ_TDN_RECEIPTS.NEXTVAL, 'VS210001','OS124','CS07','00000000','12350756','00','2','1','1','J','2','00000185','OS124','0022432','12400245','12350700','OS124','JSE04','','','','163120019','3','','000000009360000000','','0000000000001','','0','1127600080134','','','','','','','2','','','','0000000000001','2','','','','1602','', SYSDATE)
ERR  :SQL : INSERT INTO TDN_EXECUTIONS (SEQ_NUM, TELE_ID, LOGIC_ID, SERVER_ID, RCVD_SEQ, TELE_SEND_DT, COM_RSLT_CD, MARKET_CD, SYSTEM_CLS, OC_CLS, DATA_CLS, NOTICE_CLS, NOTICE_NO, OUT_TERM_ID, MARK_NO, RECEIPT_NO, EXEC_TIME, IN_TERM_ID, IN_USER_ID, NOTICE_MSG_CD, RESEND_DSP, DURATION_CLS, SECURITY_CD, BS_CLS, CONDITION_CLS, EXECUTIONS_PRICE, PRICELIM_RELS, QTY_RCVD, QTYLIM_RELS, PR_AG_CLS, ITEM_PROC, TRIGGER_PRICE, CORR_PRICE, LIQUID_PARTIC_CD, CUS_CONF_NO, VS_MARK, PRICE_MARK, DEAL_MARK, LATEST_EXEC_PRICE, OTHER_EXEC_PRICE, STOP_MARK, EXCD_MARK, SESSION_NO, KEY_RECEIPT_NO, KEY_ITEM_PROC, KEY_ORDER_PRICE, COMMODITY_TYPE_CD, CORR_CLS, RSLT_DT) VALUES (SEQ_TDN_RECEIPTS.NEXTVAL, 'VS210001','OS124','CS07','00000000','12350802','00','2','1','1','J','2','00000186','OS124','0022433','12400245','12350700','OS124','JSE04','','','','163120019','3','','000000009360000000','','0000000000003','','0','1127600080134','','','','','','','2','','','','0000000000004','2','','','','1602','', SYSDATE)
ERR  :SQL : INSERT INTO TDN_EXECUTIONS (SEQ_NUM, TELE_ID, LOGIC_ID, SERVER_ID, RCVD_SEQ, TELE_SEND_DT, COM_RSLT_CD, MARKET_CD, SYSTEM_CLS, OC_CLS, DATA_CLS, NOTICE_CLS, NOTICE_NO, OUT_TERM_ID, MARK_NO, RECEIPT_NO, EXEC_TIME, IN_TERM_ID, IN_USER_ID, NOTICE_MSG_CD, RESEND_DSP, DURATION_CLS, SECURITY_CD, BS_CLS, CONDITION_CLS, EXECUTIONS_PRICE, PRICELIM_RELS, QTY_RCVD, QTYLIM_RELS, PR_AG_CLS, ITEM_PROC, TRIGGER_PRICE, CORR_PRICE, LIQUID_PARTIC_CD, CUS_CONF_NO, VS_MARK, PRICE_MARK, DEAL_MARK, LATEST_EXEC_PRICE, OTHER_EXEC_PRICE, STOP_MARK, EXCD_MARK, SESSION_NO, KEY_RECEIPT_NO, KEY_ITEM_PROC, KEY_ORDER_PRICE, COMMODITY_TYPE_CD, CORR_CLS, RSLT_DT) VALUES (SEQ_TDN_RECEIPTS.NEXTVAL, 'VS210001','OS124','CS07','00000000','12350802','00','2','1','1','J','2','00000186','OS124','0022433','12400245','12350700','OS124','JSE04','','','','163120019','3','','000000009360000000','','0000000000003','','0','1127600080134','','','','','','','2','','','','0000000000004','2','','','','1602','', SYSDATE)
ERR  :SQL : INSERT INTO TDN_EXECUTIONS (SEQ_NUM, TELE_ID, LOGIC_ID, SERVER_ID, RCVD_SEQ, TELE_SEND_DT, COM_RSLT_CD, MARKET_CD, SYSTEM_CLS, OC_CLS, DATA_CLS, NOTICE_CLS, NOTICE_NO, OUT_TERM_ID, MARK_NO, RECEIPT_NO, EXEC_TIME, IN_TERM_ID, IN_USER_ID, NOTICE_MSG_CD, RESEND_DSP, DURATION_CLS, SECURITY_CD, BS_CLS, CONDITION_CLS, EXECUTIONS_PRICE, PRICELIM_RELS, QTY_RCVD, QTYLIM_RELS, PR_AG_CLS, ITEM_PROC, TRIGGER_PRICE, CORR_PRICE, LIQUID_PARTIC_CD, CUS_CONF_NO, VS_MARK, PRICE_MARK, DEAL_MARK, LATEST_EXEC_PRICE, OTHER_EXEC_PRICE, STOP_MARK, EXCD_MARK, SESSION_NO, KEY_RECEIPT_NO, KEY_ITEM_PROC, KEY_ORDER_PRICE, COMMODITY_TYPE_CD, CORR_CLS, RSLT_DT) VALUES (SEQ_TDN_RECEIPTS.NEXTVAL, 'VS210001','OS124','CS07','00000000','12350817','00','2','1','1','J','2','00000187','OS124','0022434','12400245','12350800','OS124','JSE04','','','','163120019','3','','000000009360000000','','0000000000001','','0','1127600080134','','','','','','','4','','','','0000000000005','2','','','','1602','', SYSDATE)
ERR  :SQL : INSERT INTO TDN_EXECUTIONS (SEQ_NUM, TELE_ID, LOGIC_ID, SERVER_ID, RCVD_SEQ, TELE_SEND_DT, COM_RSLT_CD, MARKET_CD, SYSTEM_CLS, OC_CLS, DATA_CLS, NOTICE_CLS, NOTICE_NO, OUT_TERM_ID, MARK_NO, RECEIPT_NO, EXEC_TIME, IN_TERM_ID, IN_USER_ID, NOTICE_MSG_CD, RESEND_DSP, DURATION_CLS, SECURITY_CD, BS_CLS, CONDITION_CLS, EXECUTIONS_PRICE, PRICELIM_RELS, QTY_RCVD, QTYLIM_RELS, PR_AG_CLS, ITEM_PROC, TRIGGER_PRICE, CORR_PRICE, LIQUID_PARTIC_CD, CUS_CONF_NO, VS_MARK, PRICE_MARK, DEAL_MARK, LATEST_EXEC_PRICE, OTHER_EXEC_PRICE, STOP_MARK, EXCD_MARK, SESSION_NO, KEY_RECEIPT_NO, KEY_ITEM_PROC, KEY_ORDER_PRICE, COMMODITY_TYPE_CD, CORR_CLS, RSLT_DT) VALUES (SEQ_TDN_RECEIPTS.NEXTVAL, 'VS210001','OS124','CS07','00000000','12350817','00','2','1','1','J','2','00000187','OS124','0022434','12400245','12350800','OS124','JSE04','','','','163120019','3','','000000009360000000','','0000000000001','','0','1127600080134','','','','','','','4','','','','0000000000005','2','','','','1602','', SYSDATE)
ERR  :SQL : INSERT INTO TDN_EXECUTIONS (SEQ_NUM, TELE_ID, LOGIC_ID, SERVER_ID, RCVD_SEQ, TELE_SEND_DT, COM_RSLT_CD, MARKET_CD, SYSTEM_CLS, OC_CLS, DATA_CLS, NOTICE_CLS, NOTICE_NO, OUT_TERM_ID, MARK_NO, RECEIPT_NO, EXEC_TIME, IN_TERM_ID, IN_USER_ID, NOTICE_MSG_CD, RESEND_DSP, DURATION_CLS, SECURITY_CD, BS_CLS, CONDITION_CLS, EXECUTIONS_PRICE, PRICELIM_RELS, QTY_RCVD, QTYLIM_RELS, PR_AG_CLS, ITEM_PROC, TRIGGER_PRICE, CORR_PRICE, LIQUID_PARTIC_CD, CUS_CONF_NO, VS_MARK, PRICE_MARK, DEAL_MARK, LATEST_EXEC_PRICE, OTHER_EXEC_PRICE, STOP_MARK, EXCD_MARK, SESSION_NO, KEY_RECEIPT_NO, KEY_ITEM_PROC, KEY_ORDER_PRICE, COMMODITY_TYPE_CD, CORR_CLS, RSLT_DT) VALUES (SEQ_TDN_RECEIPTS.NEXTVAL, 'VS210001','OS122','CS03','00000000','12361313','00','2','1','1','J','2','00000187','OS122','0022654','12100244','12361300','OS122','JSE02','','','','163120019','1','','000000009385000000','','0000000000004','','0','1127600080127','','','','','','','','','','','0000000000004','2','','','','1602','', SYSDATE)
ERR  :SQL : INSERT INTO TDN_EXECUTIONS (SEQ_NUM, TELE_ID, LOGIC_ID, SERVER_ID, RCVD_SEQ, TELE_SEND_DT, COM_RSLT_CD, MARKET_CD, SYSTEM_CLS, OC_CLS, DATA_CLS, NOTICE_CLS, NOTICE_NO, OUT_TERM_ID, MARK_NO, RECEIPT_NO, EXEC_TIME, IN_TERM_ID, IN_USER_ID, NOTICE_MSG_CD, RESEND_DSP, DURATION_CLS, SECURITY_CD, BS_CLS, CONDITION_CLS, EXECUTIONS_PRICE, PRICELIM_RELS, QTY_RCVD, QTYLIM_RELS, PR_AG_CLS, ITEM_PROC, TRIGGER_PRICE, CORR_PRICE, LIQUID_PARTIC_CD, CUS_CONF_NO, VS_MARK, PRICE_MARK, DEAL_MARK, LATEST_EXEC_PRICE, OTHER_EXEC_PRICE, STOP_MARK, EXCD_MARK, SESSION_NO, KEY_RECEIPT_NO, KEY_ITEM_PROC, KEY_ORDER_PRICE, COMMODITY_TYPE_CD, CORR_CLS, RSLT_DT) VALUES (SEQ_TDN_RECEIPTS.NEXTVAL, 'VS210001','OS122','CS03','00000000','12361313','00','2','1','1','J','2','00000187','OS122','0022654','12100244','12361300','OS122','JSE02','','','','163120019','1','','000000009385000000','','0000000000004','','0','1127600080127','','','','','','','','','','','0000000000004','2','','','','1602','', SYSDATE)
ERR  :SQL : INSERT INTO TDN_EXECUTIONS (SEQ_NUM, TELE_ID, LOGIC_ID, SERVER_ID, RCVD_SEQ, TELE_SEND_DT, COM_RSLT_CD, MARKET_CD, SYSTEM_CLS, OC_CLS, DATA_CLS, NOTICE_CLS, NOTICE_NO, OUT_TERM_ID, MARK_NO, RECEIPT_NO, EXEC_TIME, IN_TERM_ID, IN_USER_ID, NOTICE_MSG_CD, RESEND_DSP, DURATION_CLS, SECURITY_CD, BS_CLS, CONDITION_CLS, EXECUTIONS_PRICE, PRICELIM_RELS, QTY_RCVD, QTYLIM_RELS, PR_AG_CLS, ITEM_PROC, TRIGGER_PRICE, CORR_PRICE, LIQUID_PARTIC_CD, CUS_CONF_NO, VS_MARK, PRICE_MARK, DEAL_MARK, LATEST_EXEC_PRICE, OTHER_EXEC_PRICE, STOP_MARK, EXCD_MARK, SESSION_NO, KEY_RECEIPT_NO, KEY_ITEM_PROC, KEY_ORDER_PRICE, COMMODITY_TYPE_CD, CORR_CLS, RSLT_DT) VALUES (SEQ_TDN_RECEIPTS.NEXTVAL, 'VS210001','OS122','CS03','00000000','12370525','00','2','1','1','J','2','00000188','OS122','0022850','12200243','12370500','OS122','JSE02','','','','163120019','1','','000000009395000000','','0000000000004','','0','1127600080124','','','','','','','','','','','0000000000004','2','','','','1602','', SYSDATE)
ERR  :SQL : INSERT INTO TDN_EXECUTIONS (SEQ_NUM, TELE_ID, LOGIC_ID, SERVER_ID, RCVD_SEQ, TELE_SEND_DT, COM_RSLT_CD, MARKET_CD, SYSTEM_CLS, OC_CLS, DATA_CLS, NOTICE_CLS, NOTICE_NO, OUT_TERM_ID, MARK_NO, RECEIPT_NO, EXEC_TIME, IN_TERM_ID, IN_USER_ID, NOTICE_MSG_CD, RESEND_DSP, DURATION_CLS, SECURITY_CD, BS_CLS, CONDITION_CLS, EXECUTIONS_PRICE, PRICELIM_RELS, QTY_RCVD, QTYLIM_RELS, PR_AG_CLS, ITEM_PROC, TRIGGER_PRICE, CORR_PRICE, LIQUID_PARTIC_CD, CUS_CONF_NO, VS_MARK, PRICE_MARK, DEAL_MARK, LATEST_EXEC_PRICE, OTHER_EXEC_PRICE, STOP_MARK, EXCD_MARK, SESSION_NO, KEY_RECEIPT_NO, KEY_ITEM_PROC, KEY_ORDER_PRICE, COMMODITY_TYPE_CD, CORR_CLS, RSLT_DT) VALUES (SEQ_TDN_RECEIPTS.NEXTVAL, 'VS210001','OS122','CS03','00000000','12370525','00','2','1','1','J','2','00000188','OS122','0022850','12200243','12370500','OS122','JSE02','','','','163120019','1','','000000009395000000','','0000000000004','','0','1127600080124','','','','','','','','','','','0000000000004','2','','','','1602','', SYSDATE)
ERR  :SQL : INSERT INTO TDN_EXECUTIONS (SEQ_NUM, TELE_ID, LOGIC_ID, SERVER_ID, RCVD_SEQ, TELE_SEND_DT, COM_RSLT_CD, MARKET_CD, SYSTEM_CLS, OC_CLS, DATA_CLS, NOTICE_CLS, NOTICE_NO, OUT_TERM_ID, MARK_NO, RECEIPT_NO, EXEC_TIME, IN_TERM_ID, IN_USER_ID, NOTICE_MSG_CD, RESEND_DSP, DURATION_CLS, SECURITY_CD, BS_CLS, CONDITION_CLS, EXECUTIONS_PRICE, PRICELIM_RELS, QTY_RCVD, QTYLIM_RELS, PR_AG_CLS, ITEM_PROC, TRIGGER_PRICE, CORR_PRICE, LIQUID_PARTIC_CD, CUS_CONF_NO, VS_MARK, PRICE_MARK, DEAL_MARK, LATEST_EXEC_PRICE, OTHER_EXEC_PRICE, STOP_MARK, EXCD_MARK, SESSION_NO, KEY_RECEIPT_NO, KEY_ITEM_PROC, KEY_ORDER_PRICE, COMMODITY_TYPE_CD, CORR_CLS, RSLT_DT) VALUES (SEQ_TDN_RECEIPTS.NEXTVAL, 'VS210001','OS123','CS05','00000000','12373066','00','2','1','1','J','2','00000199','OS123','0006408','12300241','12373000','OS123','JSE03','','','','163120018','1','','000000009400000000','','0000000000002','','0','1127600080119','','','','','','','','','','','0000000000002','2','','','','1601','', SYSDATE)
